,Unnamed: 0.1,Unnamed: 0,French,English
0,0,0,partie,part
1,1,1,histoire,history
2,2,2,chercher,search
3,3,3,seulement,only
4,4,4,police,police
5,5,5,pensais,thought
6,6,6,aide,help
7,7,8,genre,kind
8,8,9,frère,brother
9,9,11,car,because
10,10,12,mettre,to put
11,11,13,aucun,no
12,13,16,ville,city
13,14,17,chaque,each
14,15,18,parlé,speak
15,16,19,arrivé,come
16,18,23,heures,hours
17,19,24,vont,will
18,20,25,pendant,while
19,21,30,compris,understood
20,22,31,savais,knew
21,24,35,pourrais,could
22,25,36,affaire,case
23,26,37,donner,give
24,27,38,type,type
25,28,39,corps,body
26,30,43,dont,whose
27,31,44,trouve,find
28,32,45,premier,first
29,33,46,perdu,lost
30,34,48,première,first
31,35,50,vieux,old
32,36,51,sois,be
33,37,52,tiens,here
34,38,53,matin,morning
35,40,56,point,point
36,41,57,venu,came
37,42,58,suite,after
38,43,59,pardon,sorry
39,44,60,venez,come
40,45,61,devant,in front of
41,46,62,vers,towards
42,47,63,minutes,minutes
43,48,64,chambre,bedroom
44,49,65,mis,placed
45,51,67,droit,law
46,52,68,aimerais,would like to
47,53,69,aujourd'hui,today
48,54,70,mari,husband
49,55,71,cause,cause
50,56,73,espère,hope
51,57,75,attendez,Wait
52,58,76,parti,left
53,59,77,nouvelle,new
54,60,78,boulot,job
55,61,79,arrêter,Stop
56,62,80,dirait,would say
57,63,81,terre,Earth
58,64,83,donne,given
59,65,84,loin,far
60,66,85,croire,believe
61,67,86,chérie,sweetheart
62,68,87,gros,large
63,69,88,plutôt,rather
64,70,89,aura,will have
65,71,90,filles,girls
66,72,92,bureau,office
